index,Output Dialog,Respect of User (OD),Input Dialog,Unnamed: 3
0, Top of the world? Dock of the bay?  I'm out. ,5, What am I sitting on? ,
1," Oh! Look at that, time's up! My turn! ",7, I can't believe we've never done this before! It's sooo good! So good for Monica!  ,
2,"  Wow! Listen, we had a good run. What was it? Four? Five months? I mean, that's more than most people have in a lifetime! So, good-bye, take care, bye-bye then!  ",6," Chandler!!! Chandler!!!  Chandler, I saw what you were doing through the window! Chandler, I saw what you were doing to my sister! Now get out here! ",
3, Hey! ,8, Hey! ,
4, Okay.  ,5," Okay, pick a card. ",
5, Hey! ,8, Hey! ,
6, I'm sorry! ,0," That is it! You just barge in here, you don't knock ",
7," Hi, my names Chandler. I just moved in next door and I was wondering if you would be interested in battling me in a post-apoplectic world for control of the galaxies last remaining energy source? ",7, Hey. ,
8, Sydney Portier? Hehheh. _B_ ,9,"  Okay, great! Bye.  So guess whos coming to Thanksgiving dinner? ",
9, This coming from the man who couldnt split our 80 dollar phone bill in half.  ,2," Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75. Chandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together thats  $12.75. ",
10, Yeah. ,6," Hey, remember when I had a monkey? ",
11," Ahh, Hotties of the Paleontology Department, theres a big selling calendar, eh? ",3," Hey! I just got uh, my teacher evaluations! Check out what this one student wrote, ""I loved Dr. Gellers class. Mind blowing lectures! Dr. Geller, you are definitely the hottie of the paleontology department!"" ",
12, Okay. ,5," Okay, Chandler! ",
13, Hey! ,8,"  Hi, you guys. ",
14, Hey. ,8," Hey, whats going on? ",
15," No, no, no. No-no-no. Joey, Rachel, and ",7,  Hey everybody! Happy Thanksgiving! ,
16, Do you realize you get louder each week? ,7, Do you realize that four weeks from today were getting married? Four weeks baby!! Four weeks!!! ,
17, Hey.  ,8, Hey. ,
18, New haircut?  Necklace?  Dress?  Boots?  Boots! ,6, Hey! So what do you think? ,
19, Oh my goodness! Where did you hide it? ,5, Hey! I got you a present!! ,
20, Hi! ,9," And that's why, no matter what mommy says, we really were on a break.  Yes we were! Yes we were!  Come here gorgeous.  Oh! Look at you! You are the cutest little baby ever! You're just a... a little bitty baby, you know that? But you've got...  You've got big beautiful eyes... Yes you do... and a... and a big round belly.  Big baby butt! I like big butts.  I like big butts and I cannot lie / you other brothers can't deny / when a girl walks in with an itty, bitty, waist / and a round thing in your face you get... Oh my God, Emma... you're laughing! Oh my God, you've never done that before, have you? You never done that before... Daddy made you laugh, huh? Well, daddy and Sir Mix Alot... What? What? You... you wanna hear some more? Uhm... My anaconda don't want none / unless you got buns hon...  I'm a terrible father!  _B_ ",
21, Yeah. Hey! Here's an idea. Why don't we use our wedding china today? ,5, Hey Hon? Would you help me get the plates down? ,
22, Because I told everyone he slept with dinosaurs. ,4," Alright, wait a second, why would Ross tell everyone in your class that you are as...  ""gay as the day is long""? ",
23," Hello? Oh hi, Doctor Connelly.  No, she's not here but, you know, I can tell her. Should I be sitting down for this?  Oh.  Well, so what does that mean?  Ok. Ok, thank you. Thanks.   ",1,  It is not okay that I'm aroused by this now.  ,
24," Hey! Look I brought a friend for dinner, this is Zack, from work! ",6, Hi honey! ,
25," You know, I'd love to, but I'm a little tired. ",1," Oh, the way you crushed Mike at ping pong was such a turn-on.You wanna...?  ",
26, How did the job stuff go? ,3, Previously on Friends... ,
27," Spanish midgets. Spanish midgets wrestling. Julie. Ok, yes, I see how you got there.  ",7," Man, I sure miss Julie. ",
28," Alright, alright, but you better be wearing clothes when I open my eyes. ",3," Alright, no peeking. No peeking, no peeking, no peeking. ",
29,"  See Joe, that's why your parents told you not to jump on the bed. Opening Credits _B_ ",5,  WHOAA!! ,
30," You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom... ",7,"  Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting! ",
31, I will have one.   ,5, Here you go Pheebs. Who else wants one of my special homemade brownies? ,
32," Oh yeah, but don't worry. I don't think anybody's gonna focus on that as long as your wearing that towel dress. ",5,  Okay. Hey. Umm. Does everybody hate these shoes? ,
33, This is the New York Times. ,9, Can I see the comics? ,
34, Or... Dick. ,9," Hey, wouldn't be cool if our duck and chick had a little baby? We could call it Chuck. ",
35,   Hi there.  ,9,"  Oh, and then Monica joked that she wouldnt go out with a guy like Chandler... ",
36," Oh no-no-no, Im, Im paddling away! ",4, Hey!! We are so in luck! Treeger said that we could have all this cool stuff from the basement. Wait right there.  ,
37," Yeah, it was time. The old condom ring in the leather just doesnt say cool anymore. ",1," Hey! New wallet, huh? ",
38,"  Hey, its me. I know you cant stand to be in the same room as me, so I just thought Id try and apologize over the phone. All I    ",1,  Hello. ,
39," Hey! Wow, it is true what they say, pregnant bellies look like a drum. ",6, Hey! ,
40, That's a pig. ,8," No, look.  ",
41,  We're very happy for you. ,9, All right! Here we go! 1999! The year of Joey! ,
42," Hey man, what's up? ",6," Oh, yeah, good idea.  ",
43,"  Yeah, see, I can't pull of baby-doll can I? ",6," I'm fine, thanks. ",
44, First of the month. ,5, Right! And when is that due? ,
45, Any contact? ,3, She barely knows me. We just live in the same building. ,
46," No, I dont want to tell anybody else because I dont want Monica to find out. ",1," Now, have you told anyone else? ",
47," So, what do you think? ",4, Hey! ,
48, Someone on the subway licked my neck! Licked my neck!! ,0, Whats the matter? ,
49, Its Phoebe! Hi!  ,9," Theres the waitress. Excuse me, Miss. Hello, Miss?  ",
50, betrothed couple. ,8, Betrothed  ,
51," Hey, you have got to try this cheesecake. ",4,  Hi. ,
52, So did Monica tell you about this great band called the Swing Kings that were trying to get to play at the wedding? ,5, Food? Uh-huh gimme!  ,
53, Yep! From now on its gonna be the four of you guys and me and the mrs. The little woman. The wife. The old ball and chain. ,7, Why?! Whats happening to the coffee house?!  Oh!  ,
54,"  Bermuda, Bahama, come on pretty mama ",1, Yeah I am! ,
55," Honey, you're screaming. ",5,  I LOVE MY NEW JOB! ,
56, What? Why? ,1," Dude, come home! ",
57," I'm not sure what they did, but I'm inclined to blame Enron. ",0, I know...God. I haven't seen my savings take a hit like this since I was a kid and they came up with double-stuffed Oreos. What happened to all our money? ,
58," Yeah, I don't know why we hang out with married couples more often. ",6," Oh! Yeah, this is fun, couples night. ",
59," Well it couldn't have been worse. A woman literally passed through me. Okay, so what is it, am I hideously unattractive? ",0," So, how was the party? ",
60, Hey. ,8, Hey. ,
61, The spoon. You licked and-and you put. You licked and you put. ,6, What? ,
62, Why? ,4," Nothin' roomie, just watchin' you sleep. ",
63," Yeah, but I'm, I'm so much faster... ",6," Oh, I ordered mine first. ",
64," Okay, Im not gonna have one. ",2, I will have one.   ,
65," Well, as old as he is in dog years, do you think Snoopy should still be allowed to fly this thing? ",2, What? ,
66," Oh, great. This is just...  Opening Credits _B_ ",4," Hi. Um, I want to start with a song thats about that moment when you suddenly realize what life is all about. OK, here we go.  OK, thank you very much. _B_ ",
67, Tell it again.  Seriously. _B_ ,4," All right, I was 15, it was my best friend, Ruth, and we got drunk on that hard cider, and then suddenly, I dont know, we were, we were making out. ",
68," You dont turn and slide, you throw it out! Im tired of having to get a tetanus shot every time I get dressed! ",0," How many times do I have to tell you! Ya, turn and sliiiide! Y'know, turn and slide. ",
